board_size,mcts_expansion_depth,mcts_expansion_epsilon,mcts_iterations,rollout_runs,trial_number,steps,reward_for_white_player,reward_for_black_player,knowledge_graph_nodes,knowledge_graph_total_rollouts
3,3,1.0,3,1,59,22,0,0,9033,52705
3,3,1.0,3,1,60,15,10,0,9143,53200
3,3,1.0,3,1,61,14,0,10,9249,53642
3,3,1.0,3,1,62,22,0,0,9417,54594
3,3,1.0,3,1,63,17,10,0,9537,55200
3,3,1.0,3,1,64,17,10,0,9653,55805
3,3,1.0,3,1,65,19,10,0,9795,56547
3,3,1.0,3,1,66,26,0,0,9971,57821
3,3,1.0,3,1,67,17,10,0,10099,58437
3,3,1.0,3,1,68,15,10,0,10208,58928
3,3,1.0,3,1,69,15,0,0,10317,59415
3,3,1.0,3,1,70,35,10,0,10578,61601
3,3,1.0,3,1,71,14,0,10,10678,62042
3,3,1.0,3,1,72,14,0,0,10788,62485
3,3,1.0,3,1,73,21,0,0,10943,63360
3,3,1.0,3,1,74,18,0,10,11080,64034
3,3,1.0,3,1,75,17,10,0,11211,64646
3,3,1.0,3,1,76,28,0,10,11431,66115
3,3,1.0,3,1,77,20,0,10,11589,66926
3,3,1.0,3,1,78,20,0,10,11741,67736
3,3,1.0,3,1,79,20,0,10,11886,68542
3,3,1.0,3,1,80,22,0,10,12051,69505
3,3,1.0,3,1,81,20,0,0,12186,70305
3,3,1.0,3,1,82,15,0,0,12289,70794
3,3,1.0,3,1,83,21,10,0,12442,71674
3,3,1.0,3,1,84,27,0,0,12630,73048
3,3,1.0,3,1,85,21,10,0,12784,73919
3,3,1.0,3,1,86,21,10,0,12944,74796
3,3,1.0,3,1,87,10,0,10,13008,75053
3,3,1.0,3,1,88,14,0,10,13110,75497
3,3,1.0,3,1,89,18,0,10,13236,76168
3,3,1.0,3,1,90,13,10,0,13326,76562
3,3,1.0,3,1,91,27,10,0,13542,77944
3,3,1.0,3,1,92,10,0,10,13610,78201
3,3,1.0,3,1,93,19,10,0,13745,78935
3,3,1.0,3,1,94,21,10,0,13910,79818
3,3,1.0,3,1,95,13,10,0,13997,80207
3,3,1.0,3,1,96,30,0,10,14236,81869
3,3,1.0,3,1,97,15,10,0,14335,82362
3,3,1.0,3,1,98,14,0,0,14419,82790
3,3,1.0,3,1,99,30,0,0,14642,84452
3,3,1.0,3,10,0,20,0,10,155,7970
3,3,1.0,3,10,1,10,0,10,238,10500
3,3,1.0,3,10,2,15,10,0,360,15430
3,3,1.0,3,10,3,16,0,10,481,20920
3,3,1.0,3,10,4,17,10,0,611,27000
3,3,1.0,3,10,5,18,0,10,754,33730
3,3,1.0,3,10,6,10,0,10,836,36280
3,3,1.0,3,10,7,11,10,0,925,39230
3,3,1.0,3,10,8,11,10,0,1015,42190
3,3,1.0,3,10,9,20,0,10,1174,50250
3,3,1.0,3,10,10,13,10,0,1270,54140
3,3,1.0,3,10,11,18,0,10,1413,60840
3,3,1.0,3,10,12,21,10,0,1567,69560
3,3,1.0,3,10,13,33,10,0,1833,89290
3,3,1.0,3,10,14,15,10,0,1946,94200
3,3,1.0,3,10,15,18,0,10,2076,100850
3,3,1.0,3,10,16,13,10,0,2179,104760
3,3,1.0,3,10,17,23,10,0,2359,115070
3,3,1.0,3,10,18,18,0,10,2510,121820
3,3,1.0,3,10,19,21,10,0,2658,130510
3,3,1.0,3,10,20,15,10,0,2768,135450
3,3,1.0,3,10,21,10,0,10,2845,137980
3,3,1.0,3,10,22,19,10,0,2987,145330
3,3,1.0,3,10,23,11,10,0,3067,148340
3,3,1.0,3,10,24,18,0,10,3199,155020
3,3,1.0,3,10,25,29,10,0,3420,170530
3,3,1.0,3,10,26,13,10,0,3518,174380
3,3,1.0,3,10,27,9,10,0,3578,176570
3,3,1.0,3,10,28,23,10,0,3752,186920
3,3,1.0,3,10,29,20,0,10,3909,194990
3,3,1.0,3,10,30,13,10,0,4004,198920
3,3,1.0,3,10,31,18,0,10,4140,205640
3,3,1.0,3,10,32,11,10,0,4224,208610
3,3,1.0,3,10,33,11,10,0,4297,211550
3,3,1.0,3,10,34,14,0,10,4397,215980
3,3,1.0,3,10,35,22,0,10,4554,225510
3,3,1.0,3,10,36,15,10,0,4666,230420
3,3,1.0,3,10,37,14,0,10,4764,234800
3,3,1.0,3,10,38,10,0,10,4833,237330
3,3,1.0,3,10,39,12,0,10,4913,240720
3,3,1.0,3,10,40,27,0,0,5103,254310
3,3,1.0,3,10,41,21,10,0,5261,263070
3,3,1.0,3,10,42,17,10,0,5393,269200
3,3,1.0,3,10,43,14,0,10,5501,273630
3,3,1.0,3,10,44,15,10,0,5613,278560
3,3,1.0,3,10,45,15,10,0,5722,283470
3,3,1.0,3,10,46,16,0,10,5836,288920
3,3,1.0,3,10,47,11,10,0,5911,291910
3,3,1.0,3,10,48,22,0,10,6073,301440
3,3,1.0,3,10,49,16,0,10,6188,306960
3,3,1.0,3,10,50,25,10,0,6373,318790
3,3,1.0,3,10,51,14,0,10,6470,323180
3,3,1.0,3,10,52,23,10,0,6640,333420
3,3,1.0,3,10,53,11,10,0,6716,336400
3,3,1.0,3,10,54,23,10,0,6882,346690
3,3,1.0,3,10,55,14,0,10,6977,351070
3,3,1.0,3,10,56,14,0,0,7075,355460
3,3,1.0,3,10,57,21,10,0,7225,364200
3,3,1.0,3,10,58,13,10,0,7313,368080
3,3,1.0,3,10,59,11,10,0,7386,371080
3,3,1.0,3,10,60,15,10,0,7494,376000
3,3,1.0,3,10,61,15,10,0,7601,380990
3,3,1.0,3,10,62,13,10,0,7696,384920
3,3,1.0,3,10,63,22,0,0,7855,394470
3,3,1.0,3,10,64,21,10,0,8004,403290
3,3,1.0,3,10,65,19,10,0,8135,410590
3,3,1.0,3,10,66,14,0,10,8225,414960
3,3,1.0,3,10,67,15,10,0,8336,419900
3,3,1.0,3,10,68,25,10,0,8535,431900
3,3,1.0,3,10,69,16,0,10,8647,437360
