board_size,mcts_expansion_depth,mcts_expansion_epsilon,mcts_iterations,rollout_runs,trial_number,steps,reward_for_white_player,reward_for_black_player,knowledge_graph_nodes,knowledge_graph_total_rollouts
3,1,1.0,3,64,99,21,10,0,4412,2848192
3,3,1.0,3,1,0,14,0,0,105,428
3,3,1.0,3,1,1,19,10,0,247,1153
3,3,1.0,3,1,2,17,10,0,379,1760
3,3,1.0,3,1,3,21,0,0,534,2638
3,3,1.0,3,1,4,25,10,0,719,3832
3,3,1.0,3,1,5,9,10,0,785,4042
3,3,1.0,3,1,6,28,0,0,999,5507
3,3,1.0,3,1,7,26,0,0,1201,6787
3,3,1.0,3,1,8,28,0,0,1412,8246
3,3,1.0,3,1,9,27,10,0,1625,9616
3,3,1.0,3,1,10,25,10,0,1810,10810
3,3,1.0,3,1,11,24,0,0,1988,11918
3,3,1.0,3,1,12,22,0,0,2156,12864
3,3,1.0,3,1,13,27,10,0,2352,14227
3,3,1.0,3,1,14,15,10,0,2458,14711
3,3,1.0,3,1,15,29,10,0,2675,16260
3,3,1.0,3,1,16,17,10,0,2794,16862
3,3,1.0,3,1,17,19,10,0,2938,17598
3,3,1.0,3,1,18,32,0,0,3183,19461
3,3,1.0,3,1,19,12,0,0,3265,19800
3,3,1.0,3,1,20,15,10,0,3374,20294
3,3,1.0,3,1,21,30,0,10,3593,21948
3,3,1.0,3,1,22,14,0,0,3699,22388
3,3,1.0,3,1,23,25,0,0,3871,23575
3,3,1.0,3,1,24,18,0,0,4009,24245
3,3,1.0,3,1,25,17,10,0,4124,24851
3,3,1.0,3,1,26,11,0,0,4199,25143
3,3,1.0,3,1,27,19,0,0,4350,25880
3,3,1.0,3,1,28,11,0,0,4426,26176
3,3,1.0,3,1,29,19,10,0,4577,26914
3,3,1.0,3,1,30,13,10,0,4677,27301
3,3,1.0,3,1,31,21,10,0,4821,28166
3,3,1.0,3,1,32,13,10,0,4911,28552
3,3,1.0,3,1,33,24,0,0,5088,29667
3,3,1.0,3,1,34,28,0,0,5291,31123
3,3,1.0,3,1,35,15,10,0,5403,31614
3,3,1.0,3,1,36,29,0,0,5619,33168
3,3,1.0,3,1,37,10,0,0,5683,33420
3,3,1.0,3,1,38,19,0,0,5816,34153
3,3,1.0,3,1,39,22,0,0,5975,35100
3,3,1.0,3,1,40,25,10,0,6164,36292
3,3,1.0,3,1,41,14,0,0,6257,36731
3,3,1.0,3,1,42,20,0,0,6388,37534
3,3,1.0,3,1,43,18,0,0,6513,38203
3,3,1.0,3,1,44,23,10,0,6666,39229
3,3,1.0,3,1,45,25,10,0,6851,40425
3,3,1.0,3,1,46,23,10,0,7008,41438
3,3,1.0,3,1,47,24,0,0,7184,42550
3,3,1.0,3,1,48,30,0,0,7415,44211
3,3,1.0,3,1,49,21,10,0,7564,45085
3,3,1.0,3,1,50,18,0,0,7690,45760
3,3,1.0,3,1,51,30,0,10,7912,47422
3,3,1.0,3,1,52,25,10,0,8086,48616
3,3,1.0,3,1,53,10,0,0,8149,48868
3,3,1.0,3,1,54,12,0,0,8224,49214
3,3,1.0,3,1,55,25,0,0,8405,50411
3,3,1.0,3,1,56,16,0,0,8531,50959
3,3,1.0,3,1,57,18,0,0,8653,51625
3,3,1.0,3,1,58,15,10,0,8749,52117
3,3,1.0,3,1,59,27,10,0,8919,53473
3,3,1.0,3,1,60,19,0,0,9041,54198
3,3,1.0,3,1,61,21,0,0,9197,55083
3,3,1.0,3,1,62,19,10,0,9326,55821
3,3,1.0,3,1,63,19,10,0,9459,56559
3,3,1.0,3,1,64,11,10,0,9544,56854
3,3,1.0,3,1,65,13,10,0,9642,57246
3,3,1.0,3,1,66,18,0,0,9761,57906
3,3,1.0,3,1,67,31,10,0,9986,59649
3,3,1.0,3,1,68,14,0,0,10087,60092
3,3,1.0,3,1,69,18,0,0,10213,60759
3,3,1.0,3,1,70,12,0,10,10290,61095
3,3,1.0,3,1,71,9,10,0,10353,61311
3,3,1.0,3,1,72,14,0,0,10457,61747
3,3,1.0,3,1,73,23,10,0,10632,62778
3,3,1.0,3,1,74,20,0,0,10786,63584
3,3,1.0,3,1,75,10,0,10,10849,63832
3,3,1.0,3,1,76,14,0,0,10946,64275
3,3,1.0,3,1,77,19,10,0,11090,65017
3,3,1.0,3,1,78,11,10,0,11167,65312
3,3,1.0,3,1,79,20,0,0,11314,66115
3,3,1.0,3,1,80,24,0,0,11487,67224
3,3,1.0,3,1,81,30,0,0,11702,68877
3,3,1.0,3,1,82,9,10,0,11766,69094
3,3,1.0,3,1,83,16,0,0,11886,69647
3,3,1.0,3,1,84,11,10,0,11963,69947
3,3,1.0,3,1,85,16,0,0,12079,70503
3,3,1.0,3,1,86,18,0,0,12203,71179
3,3,1.0,3,1,87,27,0,0,12395,72542
3,3,1.0,3,1,88,13,10,0,12486,72934
3,3,1.0,3,1,89,16,0,0,12597,73482
3,3,1.0,3,1,90,10,0,0,12665,73736
3,3,1.0,3,1,91,29,10,0,12887,75301
3,3,1.0,3,1,92,9,10,0,12938,75517
3,3,1.0,3,1,93,27,10,0,13123,76882
3,3,1.0,3,1,94,20,0,0,13277,77694
3,3,1.0,3,1,95,14,0,0,13381,78131
3,3,1.0,3,1,96,9,10,0,13446,78345
3,3,1.0,3,1,97,13,0,0,13538,78734
3,3,1.0,3,1,98,16,0,0,13654,79281
3,3,1.0,3,1,99,29,10,0,13860,80835
3,3,1.0,3,16,0,10,0,0,77,4048
3,3,1.0,3,16,1,9,0,0,148,7440
3,3,1.0,3,16,2,16,0,0,275,16160
3,3,1.0,3,16,3,9,10,0,348,19568
3,3,1.0,3,16,4,22,0,0,528,34848
3,3,1.0,3,16,5,19,10,0,682,46560
3,3,1.0,3,16,6,16,0,0,807,55312
3,3,1.0,3,16,7,22,0,0,976,70512
3,3,1.0,3,16,8,12,0,0,1067,75904
3,3,1.0,3,16,9,27,10,0,1277,97824
3,3,1.0,3,16,10,11,10,0,1355,102464
3,3,1.0,3,16,11,24,0,0,1543,120272
3,3,1.0,3,16,12,13,10,0,1638,126464
3,3,1.0,3,16,13,14,0,0,1739,133360
3,3,1.0,3,16,14,17,10,0,1869,143152
3,3,1.0,3,16,15,17,10,0,1993,152816
3,3,1.0,3,16,16,19,10,0,2126,164512
3,3,1.0,3,16,17,23,0,0,2298,180864
3,3,1.0,3,16,18,17,10,0,2432,190624
3,3,1.0,3,16,19,10,0,0,2507,194672
3,3,1.0,3,16,20,19,0,0,2657,206448
3,3,1.0,3,16,21,12,0,0,2748,211952
3,3,1.0,3,16,22,14,0,0,2855,218928
3,3,1.0,3,16,23,10,0,0,2926,222960
3,3,1.0,3,16,24,17,10,0,3049,232624
3,3,1.0,3,16,25,21,10,0,3208,246624
3,3,1.0,3,16,26,19,10,0,3351,258400
3,3,1.0,3,16,27,19,10,0,3492,270240
3,3,1.0,3,16,28,16,0,0,3587,278816
3,3,1.0,3,16,29,24,0,0,3739,296272
3,3,1.0,3,16,30,17,10,0,3856,305952
3,3,1.0,3,16,31,12,0,0,3943,311392
3,3,1.0,3,16,32,12,0,0,4029,316800
3,3,1.0,3,16,33,15,10,0,4138,324704
3,3,1.0,3,16,34,19,10,0,4286,336528
3,3,1.0,3,16,35,23,10,0,4443,352976
3,3,1.0,3,16,36,19,10,0,4582,364768
3,3,1.0,3,16,37,13,10,0,4675,370992
3,3,1.0,3,16,38,15,10,0,4775,378880
3,3,1.0,3,16,39,23,10,0,4944,395344
3,3,1.0,3,16,40,23,10,0,5120,411824
3,3,1.0,3,16,41,15,10,0,5224,419664
3,3,1.0,3,16,42,25,10,0,5384,438656
3,3,1.0,3,16,43,11,0,0,5461,443376
3,3,1.0,3,16,44,14,0,0,5561,450400
3,3,1.0,3,16,45,15,10,0,5673,458336
3,3,1.0,3,16,46,11,0,0,5754,463040
3,3,1.0,3,16,47,10,0,0,5821,467136
3,3,1.0,3,16,48,17,0,0,5935,476784
3,3,1.0,3,16,49,24,0,0,6116,494528
3,3,1.0,3,16,50,14,0,0,6210,501552
3,3,1.0,3,16,51,23,10,0,6376,518080
3,3,1.0,3,16,52,15,10,0,6475,525920
3,3,1.0,3,16,53,21,10,0,6621,539968
3,3,1.0,3,16,54,16,0,0,6728,548704
3,3,1.0,3,16,55,14,0,0,6825,555696
3,3,1.0,3,16,56,15,10,0,6921,563520
3,3,1.0,3,16,57,14,0,0,7015,570608
3,3,1.0,3,16,58,10,0,0,7081,574688
3,3,1.0,3,16,59,18,0,0,7199,585472
3,3,1.0,3,16,60,30,0,0,7400,611888
3,3,1.0,3,16,61,21,10,0,7552,626016
3,3,1.0,3,16,62,28,0,0,7777,649504
3,3,1.0,3,16,63,10,0,0,7847,653552
3,3,1.0,3,16,64,20,0,0,7990,666496
3,3,1.0,3,16,65,15,10,0,8093,674304
3,3,1.0,3,16,66,9,10,0,8155,677680
3,3,1.0,3,16,67,23,10,0,8323,694032
3,3,1.0,3,16,68,16,0,0,8441,702864
3,3,1.0,3,16,69,17,10,0,8571,712656
3,3,1.0,3,16,70,14,0,0,8670,719648
3,3,1.0,3,16,71,17,10,0,8802,729424
3,3,1.0,3,16,72,13,10,0,8897,735600
3,3,1.0,3,16,73,17,10,0,9018,745376
3,3,1.0,3,16,74,11,10,0,9097,750112
3,3,1.0,3,16,75,24,0,0,9279,767936
3,3,1.0,3,16,76,22,0,0,9439,783136
3,3,1.0,3,16,77,11,0,0,9514,787872
3,3,1.0,3,16,78,15,10,0,9620,795760
3,3,1.0,3,16,79,25,10,0,9773,814576
3,3,1.0,3,16,80,17,10,0,9897,824304
3,3,1.0,3,16,81,13,0,0,9979,830640
3,3,1.0,3,16,82,13,10,0,10062,836864
3,3,1.0,3,16,83,19,10,0,10185,848592
3,3,1.0,3,16,84,21,10,0,10335,862544
3,3,1.0,3,16,85,10,0,0,10395,866528
3,3,1.0,3,16,86,9,10,0,10454,869984
3,3,1.0,3,16,87,21,10,0,10606,884080
3,3,1.0,3,16,88,24,0,0,10782,901872
3,3,1.0,3,16,89,16,0,0,10899,910672
3,3,1.0,3,16,90,19,10,0,11043,922464
3,3,1.0,3,16,91,12,0,0,11133,927904
3,3,1.0,3,16,92,21,10,0,11289,941968
3,3,1.0,3,16,93,26,0,0,11484,962432
3,3,1.0,3,16,94,15,10,0,11587,970336
3,3,1.0,3,16,95,24,0,0,11759,988064
3,3,1.0,3,16,96,20,0,10,11899,1000832
3,3,1.0,3,16,97,13,10,0,11992,1006944
3,3,1.0,3,16,98,21,0,0,12132,1020880
3,3,1.0,3,16,99,25,10,0,12327,1040096
3,3,1.0,3,64,0,10,0,0,80,16000
3,3,1.0,3,64,1,17,10,0,207,54336
3,3,1.0,3,64,2,9,10,0,275,68032
3,3,1.0,3,64,3,16,0,0,405,102848
3,3,1.0,3,64,4,21,10,0,571,158784
3,3,1.0,3,64,5,15,10,0,687,190400
3,3,1.0,3,64,6,16,0,0,808,225472
3,3,1.0,3,64,7,14,0,0,903,253248
3,3,1.0,3,64,8,14,0,0,1002,281088
3,3,1.0,3,64,9,17,10,0,1130,319744
3,3,1.0,3,64,10,10,0,0,1198,335744
3,3,1.0,3,64,11,13,10,0,1300,360512
3,3,1.0,3,64,12,23,0,0,1468,426176
3,3,1.0,3,64,13,14,0,0,1566,453952
3,3,1.0,3,64,14,15,10,0,1674,485312
3,3,1.0,3,64,15,22,0,0,1825,545600
3,3,1.0,3,64,16,23,10,0,2001,611520
3,3,1.0,3,64,17,15,10,0,2098,642624
3,3,1.0,3,64,18,21,10,0,2261,698880
3,3,1.0,3,64,19,18,0,0,2389,741568
3,3,1.0,3,64,20,15,10,0,2495,773184
3,3,1.0,3,64,21,9,10,0,2553,787072
3,3,1.0,3,64,22,17,10,0,2669,825344
3,3,1.0,3,64,23,19,10,0,2808,872384
